Species_name,Year,Phenophase,Phenophase_start_week,Max_Initiation_probability,Mean_initiation_week,Mean_initiation_probability,Phenophase_end_week,Max_end_probability,Mean_end_week,Mean_end_probability
Jackfruit-Artocarpus heterophyllus,2023,Flowers_male,27,0.1126853436392434,20,0.058999506034537345,5,0.08006489849416495,8,0.0067554667539375885
Jackfruit-Artocarpus heterophyllus,2018,Flowers_Female,39,0.08380217045641147,31,0.027218406328789656,7,0.1690251932075283,12,0.052368542747286584
Jackfruit-Artocarpus heterophyllus,2019,Flowers_Female,30,0.08831526702738607,31,0.07241517299003616,11,0.07778147323666777,12,0.002268859493209862
Jackfruit-Artocarpus heterophyllus,2020,Flowers_Female,32,0.07376492922780675,30,0.0666218016638476,7,0.07833064245238949,8,0.0005142143010108651
Jackfruit-Artocarpus heterophyllus,2021,Flowers_Female,24,0.09230108964926594,32,0.005895042855349623,9,0.061021742582791944,10,0.0021189792290767077
Jackfruit-Artocarpus heterophyllus,2022,Flowers_Female,33,0.06921492420278381,33,0.06921492420278381,11,0.0871346690008773,13,0.00540708995311986
Jackfruit-Artocarpus heterophyllus,2023,Flowers_Female,26,0.10004892836133468,20,0.02844411450493433,5,0.07871909809648953,8,0.006327888443784244
Jackfruit-Artocarpus heterophyllus,2018,Fruits_unripe,47,0.06451892440073523,43,0.06416025730334432,16,0.07801730689204904,23,0.010342472513997402
Jackfruit-Artocarpus heterophyllus,2019,Fruits_unripe,35,0.0822298239212606,35,0.0822298239212606,20,0.07311007255014854,22,0.0029419318178963176
Jackfruit-Artocarpus heterophyllus,2020,Fruits_unripe,33,0.06663251382381197,35,0.061382092339079895,13,0.07297663207098724,14,0.00250731000683603
Jackfruit-Artocarpus heterophyllus,2021,Fruits_unripe,46,0.06649120214553059,40,0.01677115850513586,17,0.07019802209374525,17,0.0014121928808661106
Jackfruit-Artocarpus heterophyllus,2022,Fruits_unripe,36,0.06565706866817984,38,0.046096251290414225,18,0.06987748496211349,19,0.006931765497449488
Jackfruit-Artocarpus heterophyllus,2023,Fruits_unripe,32,0.09963090743285999,20,0.00883919859909583,21,0.06719573816627647,19,0.0012690311101318115
Jackfruit-Artocarpus heterophyllus,2018,Fruits_ripe,47,0.10863317460630238,3,0.0,17,0.09253407830715321,30,0.014529216303803506
Jackfruit-Artocarpus heterophyllus,2019,Fruits_ripe,46,0.07326270995134132,46,0.07326270995134132,23,0.08946392197882509,26,0.0020047635753238507
Jackfruit-Artocarpus heterophyllus,2020,Fruits_ripe,45,0.054719954335262354,45,0.054719954335262354,20,0.09516774819004628,23,0.0006808586001949606
Jackfruit-Artocarpus heterophyllus,2021,Fruits_ripe,46,0.06151770995768085,46,0.06151770995768085,23,0.07919058714255232,23,0.0034154970877684574
Jackfruit-Artocarpus heterophyllus,2022,Fruits_ripe,45,0.0684679548684042,45,0.0684679548684042,23,0.07892790276911088,24,0.0019871231276574488
Jackfruit-Artocarpus heterophyllus,2023,Fruits_ripe,32,0.14137155052222639,18,0.057136085798023026,21,0.07621426619009106,22,0.005497208614757275
