Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2023-11-09,Ficus mollis-Soft fig,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,40
2019-09-16,Fish-tail palm- Caryota urens,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,33
2023-11-29,Fish-tail palm- Caryota urens,1.0,2.0,2.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-2.0,2023,42
2017-04-02,Fish-tail palm- Caryota urens,0.0,2.0,,0.0,0.0,,,2.0,-1.0,,2017,11
2023-11-04,Flame of the forest- Butea monosperma,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39
2019-03-20,Flame of the forest- Butea monosperma,0.0,1.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,10
2020-01-23,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2020,2
2020-03-12,Floss-silk tree- Ceiba speciosa,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,1.0,1.0,0.0,2020,9
2020-02-06,Floss-silk tree- Ceiba speciosa,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2020,4
2020-01-03,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2020,0
2019-11-13,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2019,40
2019-10-30,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2019,39
2019-12-16,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2019,45
2019-11-29,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2019,42
2020-10-22,Floss-silk tree- Ceiba speciosa,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2020,38
2019-11-22,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2019,41
2020-02-25,Floss-silk tree- Ceiba speciosa,1.0,1.0,1.0,0.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2020,7
2021-03-04,Floss-silk tree- Ceiba speciosa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2021,8
2021-03-16,Floss-silk tree- Ceiba speciosa,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2021,9
2022-12-20,Floss-silk tree- Ceiba speciosa,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2022,45
2021-01-22,Floss-silk tree- Ceiba speciosa,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2021,2
2019-12-02,Floss-silk tree- Ceiba speciosa,0.0,1.0,1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2019,43
2020-01-29,Floss-silk tree- Ceiba speciosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-1.0,0.0,2020,3
2021-07-14,Floss-silk tree- Ceiba speciosa,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2021,25
2023-04-28,Frangipani- temple tree- Plumeria rubra,1.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,15
2023-12-10,Frangipani- temple tree- Plumeria rubra,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023,44
2023-12-02,Frangipani- temple tree- Plumeria rubra,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2023,43
2022-04-22,Ghost rree- Sterculia urens,0.0,0.0,0.0,-2.0,1.0,-2.0,-2.0,1.0,2.0,-1.0,2022,14
2022-04-15,Guava tree-Psidium guajava,2.0,1.0,1.0,2.0,2.0,-2.0,-2.0,2.0,0.0,-2.0,2022,13
2022-04-24,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,14
2023-11-09,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2023,40
2019-06-11,Guava tree-Psidium guajava,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,20
2015-04-26,Gulmohur- Delonix regia,2.0,0.0,,2.0,1.0,,,1.0,0.0,,2015,14
2014-09-02,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,31
2015-05-24,Gulmohur- Delonix regia,1.0,2.0,,2.0,2.0,,,1.0,0.0,,2015,18
2015-09-27,Gulmohur- Delonix regia,1.0,2.0,,1.0,2.0,,,1.0,2.0,,2015,34
2023-11-12,Gulmohur- Delonix regia,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2023,40
2015-08-02,Gulmohur- Delonix regia,1.0,2.0,,2.0,2.0,,,1.0,1.0,,2015,27
2015-07-19,Gulmohur- Delonix regia,1.0,2.0,,2.0,1.0,,,1.0,1.0,,2015,25
2023-11-09,Gulmohur- Delonix regia,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2023,40
2015-04-19,Gulmohur- Delonix regia,2.0,0.0,,2.0,0.0,,,2.0,1.0,,2015,14
2016-07-24,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,26
2014-01-26,Gulmohur- Delonix regia,0.0,2.0,,0.0,0.0,,,1.0,0.0,,2014,3
2023-05-17,Gulmohur- Delonix regia,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,17
2015-05-03,Gulmohur- Delonix regia,2.0,1.0,,2.0,2.0,,,2.0,0.0,,2015,15
