Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2016-11-26,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2016,42
2016-10-03,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,35
2016-10-10,Gulmohur- Delonix regia,1.0,2.0,,-1.0,1.0,,,1.0,1.0,,2016,36
2016-12-08,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,44
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,1.0,0.0,0.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,2.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43
2021-02-02,Himalayan Cherry- Prunus cerasoides,0.0,0.0,1.0,2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4
2021-01-21,Himalayan Cherry- Prunus cerasoides,0.0,0.0,1.0,1.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2
2018-12-02,Himalayan Cherry- Prunus cerasoides,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2018-12-02,Himalayan Cherry- Prunus cerasoides,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2021-01-21,Himalayan Maple- Acer sterculiaceum,0.0,0.0,2.0,0.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2
2021-02-02,Himalayan Maple- Acer sterculiaceum,0.0,0.0,2.0,0.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4
2016-05-27,Himalayan rhododendron- Rhododendron arboreum,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,19
2014-08-07,Himalayan rhododendron- Rhododendron arboreum,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2014,28
2019-06-08,Indian Horsechestnut- Aesculus indica,2.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2019,20
2023-10-21,Indian Horsechestnut- Aesculus indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,1.0,1.0,2023,37
2023-10-21,Indian Horsechestnut- Aesculus indica,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,2.0,2.0,2023,37
2022-08-28,Indian Horsechestnut- Aesculus indica,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,1.0,1.0,2022,30
2022-08-28,Indian Horsechestnut- Aesculus indica,1.0,2.0,2.0,0.0,0.0,-2.0,-2.0,2.0,2.0,2.0,2022,30
2022-08-28,Indian Horsechestnut- Aesculus indica,1.0,2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,2.0,2.0,2022,30
2022-08-28,Indian Horsechestnut- Aesculus indica,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2022,30
2022-04-25,Indian Horsechestnut- Aesculus indica,2.0,-2.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2022,14
2022-08-28,Indian Horsechestnut- Aesculus indica,2.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,1.0,2.0,2022,30
2022-08-28,Indian Horsechestnut- Aesculus indica,1.0,2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,2.0,1.0,2022,30
2022-08-28,Indian Horsechestnut- Aesculus indica,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,2.0,2.0,2022,30
2022-08-28,Indian Horsechestnut- Aesculus indica,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,1.0,1.0,2022,30
2021-08-01,Indian Mahogany- Toona ciliata,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,27
2021-03-21,Indian Mahogany- Toona ciliata,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,10
2021-06-06,Indian Mahogany- Toona ciliata,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,20
2021-03-14,Indian Mahogany- Toona ciliata,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,9
2021-01-03,Indian Mahogany- Toona ciliata,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0
