,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
73,2022-06-08,African Tulip-Spathodea campanulata,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2022,20
74,2021-07-11,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,24
75,2019-12-27,African Tulip-Spathodea campanulata,1.0,2.0,0.0,1.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2019,46
76,2021-02-28,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,2021,7
77,2021-03-07,African Tulip-Spathodea campanulata,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,8
78,2021-07-04,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,23
79,2019-01-28,African Tulip-Spathodea campanulata,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,2.0,2.0,2019,3
80,2019-04-01,African Tulip-Spathodea campanulata,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2019,11
81,2023-12-16,African Tulip-Spathodea campanulata,2.0,2.0,2.0,1.0,0.0,-2.0,-2.0,2.0,2.0,0.0,2023,45
82,2023-10-14,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,36
83,2023-10-21,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,37
84,2023-10-28,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,38
85,2023-11-04,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,2.0,1.0,0.0,2023,39
86,2023-11-18,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,2.0,0.0,2023,41
87,2023-11-25,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,2023,42
88,2023-09-02,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,31
89,2021-01-03,African Tulip-Spathodea campanulata,0.0,2.0,1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2020,0
90,2023-09-09,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,32
91,2023-11-11,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,2.0,1.0,0.0,2023,40
92,2023-10-07,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,36
93,2023-09-30,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,35
94,2023-11-28,African Tulip-Spathodea campanulata,1.0,2.0,1.0,2.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,42
95,2023-09-02,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,31
96,2023-09-09,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,32
97,2023-09-16,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,33
98,2023-09-23,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,34
99,2019-09-16,African Tulip-Spathodea campanulata,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,2019,33
100,2023-09-16,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,33
101,2022-04-27,African Tulip-Spathodea campanulata,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,15
102,2023-09-23,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,34
103,2023-09-30,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,35
104,2023-10-07,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,36
105,2023-10-14,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,36
106,2023-09-23,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,34
107,2023-10-21,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,37
108,2023-11-04,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,39
109,2023-11-25,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,42
110,2023-10-28,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,38
111,2023-09-30,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,35
112,2023-10-07,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,36
113,2023-10-14,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,36
114,2023-10-21,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,37
115,2023-10-28,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,38
116,2023-11-04,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,39
117,2023-11-11,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,2.0,1.0,0.0,2023,40
118,2023-11-18,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,1.0,0.0,2023,41
119,2023-11-25,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,2023,42
120,2023-09-02,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,31
121,2023-09-09,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,32
122,2023-09-16,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,33
123,2022-04-24,African Tulip-Spathodea campanulata,-2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,2.0,2.0,2022,14
124,2023-01-07,African Tulip-Spathodea campanulata,1.0,2.0,1.0,2.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2023,0
125,2019-06-14,African Tulip-Spathodea campanulata,2.0,2.0,0.0,0.0,1.0,-2.0,-2.0,0.0,0.0,1.0,2019,21
126,2021-03-28,African Tulip-Spathodea campanulata,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,11
127,2019-09-16,African Tulip-Spathodea campanulata,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2019,33
128,2023-01-06,African Tulip-Spathodea campanulata,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,2.0,0.0,0.0,2023,0
129,2023-01-05,African Tulip-Spathodea campanulata,1.0,2.0,1.0,2.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2023,0
130,2019-09-16,African Tulip-Spathodea campanulata,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2019,33
131,2023-11-25,African Tulip-Spathodea campanulata,0.0,2.0,1.0,0.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2023,42
132,2021-06-30,African Tulip-Spathodea campanulata,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,1.0,-1.0,0.0,2021,23
133,2022-10-13,African Tulip-Spathodea campanulata,0.0,2.0,1.0,2.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2022,36
134,2022-10-13,African Tulip-Spathodea campanulata,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2022,36
135,2022-10-13,African Tulip-Spathodea campanulata,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2022,36
